"","RAB.mean","GAD.mean","GAD.Total.Adj","CRA.mean","FOC.mean","IUS.mean","MAAS.mean","RiskPerception","FinancialSatisfaction","age","sex","edu","Country"
"216",3.83333333333333,1,0,2.83333333333333,1.66666666666667,2.33333333333333,4.4,52,11,27,1,2,"Turkey"
"217",4,1.28571428571429,2,3.66666666666667,3.5,4.66666666666667,4.2,24,40,55,1,3,"Turkey"
"218",3.83333333333333,2,7,3,3,3.33333333333333,3.2,68,100,23,1,3,"Turkey"
"219",3.5,2.14285714285714,8,3.16666666666667,3.66666666666667,3,4.2,30,70,49,1,3,"Turkey"
"220",4,1.57142857142857,4,3.33333333333333,2.5,2.66666666666667,4.4,25,85,23,1,3,"Turkey"
"221",4,2.28571428571429,9,3.66666666666667,3.5,4.33333333333333,2.8,71,57,51,1,3,"Turkey"
"222",3.5,2.42857142857143,10,3.66666666666667,4,4.33333333333333,4.2,50,31,24,1,3,"Turkey"
"223",3.83333333333333,2.57142857142857,11,3.83333333333333,4.16666666666667,4.33333333333333,3,10,0,31,1,3,"Turkey"
"224",4,3.42857142857143,17,3.66666666666667,2.66666666666667,5,2.4,60,44,29,1,3,"Turkey"
"225",4,1.42857142857143,3,2.5,3.33333333333333,1.66666666666667,4.8,46,70,54,2,3,"Turkey"
"226",4,1.71428571428571,5,2.83333333333333,4.16666666666667,2.66666666666667,3.8,40,96,59,1,3,"Turkey"
"227",3.5,1.85714285714286,6,2,4,3.33333333333333,4.6,47,73,29,1,2,"Turkey"
"228",4,1.85714285714286,6,2.33333333333333,2.5,3,4.4,49,43,63,1,3,"Turkey"
"229",3.16666666666667,2.42857142857143,10,2.16666666666667,2.66666666666667,4,3.6,40,40,23,1,3,"Turkey"
"230",3.66666666666667,1,0,2,3.66666666666667,2,3.8,10,45,56,2,2,"Turkey"
"231",3.66666666666667,2,7,4,4.16666666666667,4.33333333333333,2.4,60,50,23,1,3,"Turkey"
"232",3.66666666666667,1.28571428571429,2,1.16666666666667,3,4.66666666666667,2.6,0,25,72,2,1,"Turkey"
